# The updater's own output, recovered from the container that ran it (T4, round 2).
#
# `docker logs -t tortoise-mangosd` on container e716a18c5d8a -- created 2026-09-09T08:48:14Z by the
# reimport's own `compose up -d`, restarted 08:55:21Z for the channel press, exited 08:56:51Z and
# never recreated -- filtered to the `[DB Auto-Updater]` lines and the ready banner, nothing else
# changed. The file hashes are the updater's own (SHA1 of each file's bytes) and are not secrets.
# The install's generated database password does not occur anywhere in this container's log:
# `docker logs tortoise-mangosd | grep -c -F "$(cat .db_password)"` = 0, and no `…;3306;…` line
# exists in it either. So nothing here is redacted.
#
# TWO starts are in this file, and the timestamps separate them:
#   08:48-08:49  the reimport, against tw_world freshly imported from their base: 173 possible,
#                173 attempted, in name order, zero `failed to apply`.
#   08:55-08:56  the channel press restart: the same 173 possible, 0 attempted.
#
# `check-updater-order.sh` beside this file re-derives both claims from this transcript and from
# the file list inside the image, rather than asking anyone to count 173 lines by eye.
#
2026-09-09T08:48:27.254313447Z [DB Auto-Updater] Attempting to execute update 20260709071006_world, hash 3A60FF40C1A50CDAEFA0E6F793D2ABE743B8A3BA.
2026-09-09T08:48:27.258640110Z [DB Auto-Updater] Attempting to execute update 20260710045142_world, hash 1939303884C3D5D0A21926B000FA4970C71A5F98.
2026-09-09T08:48:27.310873254Z [DB Auto-Updater] Attempting to execute update 20260711131631_world, hash 9EF58482BA803E8C3F64D72828D39257567C5660.
2026-09-09T08:48:27.335330324Z [DB Auto-Updater] Attempting to execute update 20260711150912_world, hash 0D9BD93FC526C8D1E16E1956F5C4EB4226B5A005.
2026-09-09T08:48:27.339631206Z [DB Auto-Updater] Attempting to execute update 20260711170358_world, hash 6DF84F9F5C6F9CBD4EF0B8343E4A784371282398.
2026-09-09T08:48:27.341082307Z [DB Auto-Updater] Attempting to execute update 20260711191209_world, hash DCA67EC44447AF1D7F354274AE3E093BB87A57B8.
2026-09-09T08:48:27.342593156Z [DB Auto-Updater] Attempting to execute update 20260712222616_world, hash C81CCE40B848CE6114C5B8617CD47408472E45ED.
2026-09-09T08:48:27.374754262Z [DB Auto-Updater] Attempting to execute update 20260714180156_world, hash DAED4F50B30E301D0E51792BDF8BCD7462571DA6.
2026-09-09T08:48:27.377665981Z [DB Auto-Updater] Attempting to execute update 20260714235525_world, hash 42BAB64EF898E88895B454C6AEB8A637EEECC932.
2026-09-09T08:48:27.381111798Z [DB Auto-Updater] Attempting to execute update 20260715003750_world, hash 636793E5031688A8D7884B7D267E12A60D1A4734.
2026-09-09T08:48:27.385510273Z [DB Auto-Updater] Attempting to execute update 20260715124044_world, hash C492F6397E33C94E55F9811607DBF80C327ACA80.
2026-09-09T08:48:27.389942163Z [DB Auto-Updater] Attempting to execute update 20260715141903_world, hash AEE58D657E61C3AEAB49F5927B7A7BDDBEF24ACF.
2026-09-09T08:48:27.393715162Z [DB Auto-Updater] Attempting to execute update 20260715153051_world, hash E7EC242C0E9B55C6714E8B76DB9B85574D438067.
2026-09-09T08:48:27.400478465Z [DB Auto-Updater] Attempting to execute update 20260715174518_world, hash AD5805978C2B961D9FE40C9CEEEECB6E952C1CB5.
2026-09-09T08:48:27.403529046Z [DB Auto-Updater] Attempting to execute update 20260718120125_world, hash BDAE2914700D804098398070C3BE06934E0F33F9.
2026-09-09T08:48:27.415905431Z [DB Auto-Updater] Attempting to execute update 20260718150344_world, hash 61019B866DC8FA0244727D7BF5A4B0DE25AECB7B.
2026-09-09T08:48:27.421243933Z [DB Auto-Updater] Attempting to execute update 20260718184759_world, hash 688A8B3A32B2D3944A3BB29FD0ED5B970D1F9E71.
2026-09-09T08:48:27.616527311Z [DB Auto-Updater] Attempting to execute update 20260721013813_world, hash EA070470B58391230D0EC103BDBB111B1C297D81.
2026-09-09T08:48:27.843065665Z [DB Auto-Updater] Attempting to execute update 20260721095654_world, hash 5B10F8F1FEA97C1A3266384872CD4309CD6828CB.
2026-09-09T08:48:27.845033758Z [DB Auto-Updater] Attempting to execute update 20260721231140_world, hash 8C28541E779DA0D7B28E25AA39CE9084908F76CF.
2026-09-09T08:48:27.848762207Z [DB Auto-Updater] Attempting to execute update 20260724201050_world, hash C55C6A85F979F72D5ABA849C62D330CE09FA0711.
2026-09-09T08:48:27.855074044Z [DB Auto-Updater] Attempting to execute update 20260726112016_world, hash 905548F38B1838FEAA371AE5BB9DDEE8F2FDC7ED.
2026-09-09T08:48:27.860302052Z [DB Auto-Updater] Attempting to execute update 20260727120119_world, hash 4156490A6149A2F239508EB576358E5095BC0AB5.
2026-09-09T08:48:27.869192459Z [DB Auto-Updater] Attempting to execute update 20260730120000_world, hash 74AE640F498E777BBDBF7D2842855972B71EFC88.
2026-09-09T08:48:27.870686677Z [DB Auto-Updater] Attempting to execute update 20260730120100_world, hash D29653C59B698774184014826D4970C0347470CB.
2026-09-09T08:48:27.877764405Z [DB Auto-Updater] Attempting to execute update 20260730120200_world, hash DCB42FA8D63D8B696E4361561E8D28E581F37A9F.
2026-09-09T08:48:27.879306696Z [DB Auto-Updater] Attempting to execute update 20260730120300_world, hash 147D3A1B1E1DD1E1BA6957F18F29328D25D5E425.
2026-09-09T08:48:27.880390147Z [DB Auto-Updater] Attempting to execute update 20260730132859_world, hash A8EC4D91DC9BEDB1E60E72694F4E8A3B121D816A.
2026-09-09T08:48:27.883608944Z [DB Auto-Updater] Attempting to execute update 20260730145429_world, hash E57422F5E47C72B8448A17A6E60F9BB3D8EB799A.
2026-09-09T08:48:27.884625624Z [DB Auto-Updater] Attempting to execute update 20260730200000_world, hash 6BA7315B4D8784254E6FBE0B8F01CFBA97C880A2.
2026-09-09T08:48:27.888781007Z [DB Auto-Updater] Attempting to execute update 20260730201802_world, hash 3C437F71E7BD35C10A8384C41A0138F252A1E462.
2026-09-09T08:48:27.893100006Z [DB Auto-Updater] Attempting to execute update 20260730212326_world, hash 6A5BB7FC8532FD2735B1E6FB993EC75B6CC291D0.
2026-09-09T08:48:27.894704414Z [DB Auto-Updater] Attempting to execute update 20260731011334_world, hash BD95FF3AD3EA5DE8F3EC5C644999E32EDD730D33.
2026-09-09T08:48:27.896002042Z [DB Auto-Updater] Attempting to execute update 20260731120000_world, hash E299BB68E0E75EA0DA86AE3F7B7BBA895C001B31.
2026-09-09T08:48:27.897267479Z [DB Auto-Updater] Attempting to execute update 20260731121709_world, hash 8B3C591626F97B911579BC950D711AF1881DD548.
2026-09-09T08:48:27.898497161Z [DB Auto-Updater] Attempting to execute update 20260731170000_world, hash A3AD91A53A832F24A69CBFC8AC3AA1216453520D.
2026-09-09T08:48:27.899606654Z [DB Auto-Updater] Attempting to execute update 20260731180000_world, hash 2D93CA25608007ED13B60C0C0B3E4D4DFA936291.
2026-09-09T08:48:27.900840861Z [DB Auto-Updater] Attempting to execute update 20260731180247_world, hash 183EAE4BECFD7EFE40064624F63E4877D85D107F.
2026-09-09T08:48:27.905740357Z [DB Auto-Updater] Attempting to execute update 20260731190000_world, hash DFEA3C4E901C7F3A28F6F592A91112F60BE25DE7.
2026-09-09T08:48:27.906759566Z [DB Auto-Updater] Attempting to execute update 20260801230645_world, hash 38DD2D023665BE9FA11CC6B01291A2026DB94B4D.
